,title,heading,content,tokens
3874,Greenhouse,Netherlands,"The Netherlands has some of the largest greenhouses in the world. Such is the scale of food production in the country that in 2017, greenhouses occupied nearly 5,000 hectares.Greenhouses began to be built in the Westland region of the Netherlands in the mid-19th century. The addition of sand to bogs and clay soil created fertile soil for agriculture, and around 1850, grapes were grown in the first greenhouses, simple glass constructions with one of the sides consisting of a solid wall. By the early 20th century, greenhouses began to be constructed with all sides built using glass, and they began to be heated. This also allowed for the production of fruits and vegetables that did not ordinarily grow in the area. Today, the Westland and the area around Aalsmeer have the highest concentration of greenhouse agriculture in the world. The Westland produces mostly vegetables, besides plants and flowers; Aalsmeer is noted mainly for the production of flowers and potted plants. Since the 20th century, the area around Venlo and parts of Drenthe have also become important regions for greenhouse agriculture.
Since 2000, technical innovations include the ""closed greenhouse"", a completely closed system allowing the grower complete control over the growing process while using less energy. Floating greenhouses are used in watery areas of the country.
The Netherlands has around 4,000 greenhouse enterprises that operate over 9,000 hectares of greenhouses and employ some 150,000 workers, producing €7.2 billion worth of vegetables, fruit, plants, and flowers, some 80% of which is exported.",327
3875,Poultry farming in the United States,Current status,"Today, eggs are produced on large egg ranches on which environmental parameters are controlled. Chickens are exposed to artificial light cycles to stimulate egg production year-round. In addition, it is a common practice to induce molting through manipulation of light and the amount of food they receive in order to further increase egg size and production.
On average, a chicken lays one egg a day for a number of days (a ""clutch""), then does not lay for one or more days, then lays another clutch. Originally, the hen presumably laid one clutch, became broody, and incubated the eggs. Selective breeding over the centuries has produced hens that lay more eggs than they can hatch. Some of this progress was ancient, but most occurred after 1900. In 1900, average egg production was 83 eggs per hen per year. In 2000, it was well over 300.
In the United States, laying hens are butchered after their second egg laying season. In Europe, they are generally butchered after a single season. The laying period begins when the hen is about 18–20 weeks old (depending on breed and season). Males of the egg-type breeds have little commercial value at any age, and all those not used for breeding (roughly fifty percent of all egg-type chickens) are killed soon after hatching. Such ""day-old chicks"" are sometimes sold as food for captive and falconers birds of prey. The old hens also have little commercial value. Thus, the main sources of poultry meat a hundred years ago (spring chickens and stewing hens) have both been entirely supplanted by meat-type broiler chickens.
Traditionally, chicken production was distributed across the entire agricultural sector. In the 20th century, it gradually moved closer to major cities to take advantage of lower shipping costs. This had the undesirable side effect of turning the chicken manure from a valuable fertilizer that could be used profitably on local farms to an unwanted byproduct. This trend may be reversing  itself due to higher disposal costs on the one hand and higher fertilizer prices on the other, making farm regions attractive once more.From the farmer's point of view, eggs used to be practically the same as currency, with general stores buying eggs for a stated price per dozen. Egg production peaks in the early spring, when farm expenses are high and income is low. On many farms, the flock was the most important source of income, though this was often not appreciated by the farmers, since the money arrived in many small payments. Eggs were a farm operation where even small children could make a valuable contribution.In 2015, the national flock suffered due to the spread of bird flu, affecting birds in fourteen states, leading to layoffs. A May 2015 report by the Associated Press reported that 10% of egg laying chickens were dead or dying due to bird flu. Beginning in June 2015, rationing of eggs had begun, leading to increased egg prices.",604
3876,Kokum oil,Collection of seeds,"Fruits are collected manually by handpicking. The tree branches are shaken with long sticks and fallen fruits are collected. The fruits are broken by sticks to separate the seeds, which are picked up by hand. Then the separated seeds are dried to reduce their moisture content.",57
3877,Census of agriculture,Ireland,"Ireland participated in all census rounds. Censuses of agriculture were conducted annually between 1847 and 1953, and every five years from 1960 to 1980. The 1985 Census of Agriculture was cancelled on budgetary grounds and the next censuses were undertaken in 1991, 2000, 2010 and 2020.",59
3878,International R series,Medium duty,"Including the R-140 through R-180 model lines, the medium-duty trucks were produced as chassis-cab conventional trucks.  The medium-duty trucks also served as the basis for the ""Schoolmaster"" cowled bus chassis.  The Loadstar made its return, denoting high-capacity versions of each model family.  For 1953, International introduced factory-produced four-wheel drive trucks for the first time (in the R-140 and R-160 series); previous 4x4 trucks were conversions (by either International or second-party manufacturers).  
The medium-duty trucks were powered by multiple engines, dependent on model series.  The R-140 and R-150 shared the SD-220 with the light-duty trucks, while the R-160 was powered by a 108 hp SD-240 I6.  The R-170 retained the Super Blue Diamond 269 from the L-series, producing 101 hp; a 130 hp Super Black Diamond 282 I6 (standard in the R-180) was offered as an option. 
The medium-duty R-Series (R-160 through R-180, along with R-190 and R-200 heavy-duty) chassis served as the basis for the Fageol van, a bus-style delivery van assembled by Twin Coach.",274
3879,Sodium thiosulfate,Neutralizing chlorinated water,"It is used to dechlorinate tap water including lowering chlorine levels for use in aquariums, swimming pools, and spas (e.g., following superchlorination) and within water treatment plants to treat settled backwash water prior to release into rivers.  The reduction reaction is analogous to the iodine reduction reaction.
In pH testing of bleach substances, sodium thiosulfate neutralizes the color-removing effects of bleach and allows one to test the pH of bleach solutions with liquid indicators. The relevant reaction is akin to the iodine reaction: thiosulfate reduces the hypochlorite (the active ingredient in bleach) and in so doing becomes oxidized to sulfate. The complete reaction is:

4 NaClO + Na2S2O3 + 2 NaOH → 4 NaCl + 2 Na2SO4 + H2OSimilarly, sodium thiosulfate reacts with bromine, removing the free bromine from the solution. Solutions of sodium thiosulfate are commonly used as a precaution in chemistry laboratories when working with bromine and for the safe disposal of bromine, iodine, or other strong oxidizers.",244
3880,Ford World Rally Team,2002 season,"McRae and Sainz regrouped for both drivers' final seasons with Ford in 2002. Simultaneously, youngster Markko Märtin replaced Delecour as the team's third driver, having found himself crowded out by the presence of Richard Burns and Petter Solberg at former team, Subaru.
Sainz's third place in the championship beat his Scottish teammate's fourth place in the standings. His only victory of the year came on that year's Rally Argentina, which he inherited after the unlikely exclusion of both of the initially 1–2 finishing dominant works Peugeots of Marcus Grönholm and Englishman Burns. McRae began his own season with fourth place on the Rally Monte Carlo, but he suffered an injury to his hand when he crashed out on the Tour de Corse, which left him hampered and struggling to a single-point-scoring finish on the following tarmac round in Spain. Injury worries for Sainz, meanwhile, came not from himself, but in the form of long-time co-driver Luis Moya, who was forced to end his unbroken year-on-year chain of appearances with his compatriot in order to recuperate, with Marc Marti stepping in for the double world champion's home rally. Intrusive spectator parking on the event blinded Sainz, causing him to eventually crash out. With the Fords having initially dominated the stage times on the first rough gravel event of the year in Cyprus particularly through McRae, Märtin and François Duval, successive retirements left McRae as the sole occupier of the lead for the Blue Oval, which he lost after a number of unfortunate shunts which eventually left himself holding on to a mere sixth place overall, and the two factory Peugeots as 1–2 finishers on this event.
After Sainz's perhaps fortuitous Argentinian win, McRae resumed his role as rally winner on the Acropolis and Safari rallies. The first success came despite initially being unexpectedly led on the stages by an imperious Märtin, while the latter, achieved on the landmark occasion of the fiftieth running of the fabled endurance event, and its last at World Rally Championship level, in retrospect proved to be the last career victory for McRae and British navigator Nicky Grist, ironically on the day on which the Scot became the first world championship driver to reach the quarter-century mark of individual WRC wins, and came to stand alone as the most successful driver in the history of the World Rally Championship.
Despite the profile of these attainments, both McRae and Sainz were to leave the team at the end of the year as teammates to the then less seasoned Sébastien Loeb at new championship full-timers, Citroën.",583
3881,Fenugreek,Traditional medicine,"Although once a folk remedy for an insufficient milk supply when nursing, there is no good evidence that fenugreek is effective or safe for this use. There is no good evidence it is useful in traditional practices for treating dysmennorhea, inflammation, diabetes, or any human disorder.",62
3882,"Ministry of Agriculture, Forestry and Fisheries (Japan)",History,"The Constitution of the Empire of Japan provided for the creation of a Ministry of Agriculture and Commerce (農商務省, Nōshōmu-shō), which was established in 1881, with Tani Tateki as its first minister. As an additional note, the Ministry of Agriculture and Commerce was a division that served as the Ministry of Agriculture, Forestry and Fisheries and the Ministry of Economy, Trade and Industry.
In 1925, the commerce functions were separated out into a separate Ministry of Commerce (商工省, Shōkō-shō), and the ministry was renamed the Ministry of Agriculture and Forestry (農林省, Nōrin-shō). The ministry was also given responsibility for oversight of the Factory Act of 1903, which provided regulations for work hours and worker safety in both industrial and agricultural industries.
From 1943 to 1945, when the Ministry of Commerce was abolished due to the nationalization of Japanese industry for the war effort of World War II against Allies of World War II, parts of that ministry reverted to the Ministry of Agriculture and Forestry, which was again briefly named Ministry of Agriculture and Commerce (農商省, Nōshō-shō).
In 1978, the name of Ministry of Agriculture and Forestry was expanded to the Ministry of Agriculture, Forestry and Fisheries to better reflect the ministry's role in guaranteeing the Japanese public a safe food supply, and to protect producers and workers in the food production industries.",315
3883,Combine harvester,Field mapping,"The advent of GPS and GIS technologies has made it possible to create field maps, which can assist in navigation, and in the preparation of yield maps, which show which parts of the field are more productive.",45
3884,Cover crop,Weed management,"Thick cover crop stands often compete well with weeds during the cover crop growth period, and can prevent most germinated weed seeds from completing their life cycle and reproducing. If the cover crop is flattened down on the soil surface rather than incorporated into the soil as a green manure after its growth is terminated, it can form a nearly impenetrable mat. This drastically reduces light transmittance to weed seeds, which in many cases reduces weed seed germination rates. Furthermore, even when weed seeds germinate, they often run out of stored energy for growth before building the necessary structural capacity to break through the cover crop mulch layer. This is often termed the cover crop smother effect.Some cover crops suppress weeds both during growth and after death. During growth these cover crops compete vigorously with weeds for available space, light, and nutrients, and after death they smother the next flush of weeds by forming a mulch layer on the soil surface. For example, researchers found that when using Melilotus officinalis (yellow sweetclover) as a cover crop in an improved fallow system (where a fallow period is intentionally improved by any number of different management practices, including the planting of cover crops), weed biomass only constituted between 1–12% of total standing biomass at the end of the cover crop growing season. Furthermore, after cover crop termination, the yellow sweetclover residues suppressed weeds to levels 75–97% lower than in fallow (no yellow sweetclover) systems.
In addition to competition-based or physical weed suppression, certain cover crops are known to suppress weeds through allelopathy. This occurs when certain biochemical cover crop compounds are degraded that happen to be toxic to, or inhibit seed germination of, other plant species. Some well known examples of allelopathic cover crops are Secale cereale (rye), Vicia villosa (hairy vetch), Trifolium pratense (red clover), Sorghum bicolor (sorghum-sudangrass), and species in the family Brassicaceae, particularly mustards. In one study, rye cover crop residues were found to have provided between 80% and 95% control of early season broadleaf weeds when used as a mulch during the production of different cash crops such as soybean, tobacco, corn, and sunflower.In a 2010 study released by the Agricultural Research Service (ARS), scientists examined how rye seeding rates and planting patterns affected cover crop production. The results show that planting more pounds per acre of rye increased the cover crop's production as well as decreased the amount of weeds. The same was true when scientists tested seeding rates on legumes and oats; a higher density of seeds planted per acre decreased the amount of weeds and increased the yield of legume and oat production. The planting patterns, which consisted of either traditional rows or grid patterns, did not seem to make a significant impact on the cover crop's production or on the weed production in either cover crop. The ARS scientists concluded that increased seeding rates could be an effective method of weed control.",637
3885,Barley stripe mosaic virus,Environment,"Unlike many viruses, there are no known insect vectors to spread the disease. Rather, BSMV relies on parent to offspring transmission.
Temperature at which the infected plant is grown is critical to spreading and developing the disease. At higher temperatures, the symptoms are more severe. According to one study, when infected host plants were held at 7 °C, they  took approximately 30 days to develop symptoms, and never were able to infect other potential hosts. However, at higher temperatures of 12-18 °C symptoms developed in 7–8 days and the virus was transmissible. However, it is still important to note that severity of symptoms don't always correlate with the amount of the virus present. Another found that the levels of virus present remained relatively constant over a range of 13 °C-25 °C and that the amount of virus present was related only to the age of the hosts and length of time that they were infected.Light intensity may also have an effect on the development of the disease symptoms. A study showed that heavily shaded infected plants showed little to no symptoms after 11 days when compared to non-shaded infected plants.A factor that affects the spread and severity of the virus is the species and variety of host, as some are more susceptible than others. For example, the barley variety CM67 is very susceptible. It has a much higher transmission rate than other varieties, and if symptoms are severe enough due to weather conditions, this variety can even be sterile.Another factor that affects the spread of the disease is the gametes bred to produce the offspring. One study found that about 10% of seeds produced from an infected harvest also contain the virus. One belief was that the virus could be spread to offspring by infected pollen grains, and because of this it was believed that it could potentially spread over long distances.  However, an infected ovule is a more important factor for the spread of this disease. The disease is more likely to spread when an infected ovule produces progeny with infected pollen, with a 70% transmission rate. When an infected ovule is pollinated by an uninfected pollen there is only about a 66% transmission rate.  In an uninfected ovule that is pollinated by infected pollen there is only about a 3% transmission rate to the offspring.",468
3886,Pesticide toxicity to bees,Sublethal and chronic effects,"Field exposure to pesticides, especially with relation to neonicotinoids, may lead to multiple physiological and/or behavioral sublethal effects in exposed bees.  Sublethal effects to honey bees can include disruptions to behavioral and motor functions, compromised immunity, and delayed development.",58
3887,Coriander,Uses,"Fresh leaves and dried seeds are the most commonly used in cooking, but all parts of the plant are edible, and the roots are an important element of Thai cooking. Coriander is used in cuisines throughout the world.",49
3888,Alginic acid,Summary,"Alginic acid, also called algin, is a naturally occurring, edible polysaccharide found in brown algae.  It is hydrophilic and forms a viscous gum when hydrated. With metals such as sodium and calcium, its salts are known as alginates. Its colour ranges from white to yellowish-brown. It is sold in filamentous, granular, or powdered forms. 
It is a significant component of the biofilms produced by the bacterium Pseudomonas aeruginosa, a major pathogen found in the lungs of some people who have cystic fibrosis. The biofilm and P. aeruginosa have a high resistance to antibiotics, but susceptible to inhibition by macrophages.",157
3889,National Center for Biotechnology Information,Gene,"Gene has been implemented at NCBI to characterize and organize the information about genes. It serves as a major node in the nexus of the genomic map, expression, sequence, protein function, structure, and homology data. A unique GeneID is assigned to each gene record that can be followed through revision cycles. Gene records for known or predicted genes are established here and are demarcated by map positions or nucleotide sequences. Gene has several advantages over its predecessor, LocusLink, including, better integration with other databases in NCBI, broader taxonomic scope, and enhanced options for query and retrieval provided by the Entrez system.",130
3890,Cabbage looper,Sex pheromone traps,"There is extensive research in cabbage looper pheromones for the goal of developing traps to catch the moth. Initial research involved isolation of the female pheromone to identify the compounds and potentially synthetically replicate the natural female pheromone. Scientists were able to develop a synthetic version that functions biologically like the natural form. The synthetic female pheromone has been used with black light traps to study cabbage looper populations in various regions of the US. Synthetic male pheromone has also been developed and was found to be effective in attracting and trapping both male and female cabbage loopers. The blend of male pheromones helped to trap females seeking mates and individuals seeking food. Further studies in Arizona showed that pheromone baited black light traps are not effective in managing the cabbage looper. The traps did capture some males, which resulted in less mating and therefore fewer eggs laid. However, the effect was not large enough to cease using insecticides, as farming standards require crops that are basically insect-free.",217
3891,Acid sulfate soil,Restoration and Management,"By raising the water table, after damage has been inflicted due to over-intensive drainage, the soils can be restored.
The following table gives an example.
Drainage and yield of Malaysian oil palm on acid sulfate soils (after Toh Peng Yin and Poon Yew Chin, 1982)Yield in tons of fresh fruit per ha:

Drainage depth and intensity were increased in 1962. The water table was raised again in 1966 to counter negative effects.
In the ""millennium drought"" in the Murray-Darling Basin in Australia, exposure of acid sulfate soils occurred. Large scale engineering interventions were undertaken to prevent further acidification, including construction of a bund and pumping of water to prevent exposure and acidification of Lake Albert. Management of acidification in the Lower Lakes was also undertaken using aerial limestone dosing.",177
3892,Outline of organic gardening and farming,Organic organizations,"Organic Crop Improvement Association
Good Gardeners Association (UK)
Garden Organic, formerly the Henry Doubleday Research Association (main organisation promoting organic gardening in the UK)
International Federation of Organic Agriculture Movements (IFOAM)
Permaculture Association (Britain)
Rodale Institute
Soil Association (UK)
Certified Naturally Grown
Vegan Organic Network
World-Wide Opportunities on Organic Farms (WWOOF)
Carolina Farm Stewardship Association For North and South Carolina, of the US, the leading organic farming advocacy and certification institution.
Biodynamic Farming & Gardening Association
Irish Organic Farmers and Growers Association (IOFGA) Organic certification and promotion body in Ireland.
Maine Organic Farmers and Gardeners Association (MOFGA)",167
3893,Assisted GNSS,Related technologies,"Many mobile phones combine A-GPS and other location services, including Wi-Fi positioning system and cell-site multilateration and sometimes a hybrid positioning system.High-Sensitivity GPS is an allied technology that addresses some of these issues in a way that does not require additional infrastructure. However, unlike some forms of A-GPS, high-sensitivity GPS cannot provide a fix instantaneously when the GPS receiver has been off for some time.",94
3894,Malt,Malt extract production,"Malt extract is frequently used in the brewing of beer. Its production begins by germinating barley grain in a process known as malting, immersing barley in water to encourage the grain to sprout, then drying it to halt the progress when the sprouting begins. The drying step stops the sprouting, but the enzymes remain active due to the low temperatures used in base malt production. In one before-and-after comparison, malting decreased barley's extractable starch content by about 7% on a dry matter basis and turned that portion into various other carbohydrates.

In the next step, brewers use a process called mashing to extract the sugars. Brewers warm cracked malt in temperature-modulated water, activating the enzymes, which cleave more of the malt's remaining starch into various sugars, the largest percentage of which is maltose. Modern beer-mashing practices typically include high enough temperatures at mash-out to deactivate remaining enzymes, thus it is no longer diastatic. The liquid produced from this, wort, is then concentrated by using heat or a vacuum procedure to evaporate water from the mixture. The concentrated wort is called malt extract.",244
3895,Covered goods wagon,Passenger use,"The covered goods wagon has been used to carry passengers, especially during wartime. In both world wars, French boxcars known as forty-and-eights (40/8) were used as troop transports as well as for freight; in World War II first by the French forces, then the German, and finally the Allies. The shared experience among Allied soldiers spawned groups such as the Forty and Eight veterans organization. In addition to soldiers, the Germans transported prisoners in crowded boxcars during the Nazi regime, and an undisclosed number of German soldiers captured by the U.S. Army died of suffocation in American boxcars transporting them from the front-line to prisoner of war camps in March 1945.  The same transportation was used by the Soviet Union during the 1930s and 1940s, when over 1.5 million people were transferred to Siberia and other areas from different countries and areas incorporated into the Soviet Union.",186
3896,Copper in biology,Excretion,Bile is the major pathway for the excretion of copper and is vitally important in the control of liver copper levels. Most fecal copper results from biliary excretion; the remainder is derived from unabsorbed copper and copper from desquamated mucosal cells.,59
3897,Agricultural biotechnology,Safety testing and government regulations,"Agricultural biotechnology regulation in the US falls under three main government agencies: The Department of Agriculture (USDA), the Environmental Protection Agency (EPA), and the Food and Drug Administration (FDA). The USDA must approve the release of any new GMOs, EPA controls the regulation of insecticide, and the FDA evaluates the safety of a particular crop sent to market. On average, it takes nearly 13 years and $130 million of research and development for a genetically modified organism to come to market. The regulation process takes up to 8 years in the United States. The safety of GMOs has become a topic of debate worldwide, but scientific articles are being conducted to test the safety of consuming GMOs in addition to the FDA's work. In one such article, it was concluded that Bt rice did not adversely affect digestion and did not induce horizontal gene transfer.",177
3898,No-till farming,Australia,"Per figures from the Australian Bureau of Statistics (ABS) Agricultural Resource Management Survey, in Australia the percentage of agricultural land under No-till farming methods was 26% in 2000–01, which more than doubled to 57% in 2007–08.  As at 30 June 2017, of the 20 million ha (77,000 sq mi) of crop land cultivated 79% (or 16 million hectares) received no cultivation. Similarly, 70% (or 2 million hectares) of the 3 million hectares of pasture land cultivated received no cultivation, apart from sowing.",117
3899,Intravenous iron infusion,Infection,"Any form of intravenous infusion carries the risk of infection. Risk is heightened when the equipment being used is not properly sterilised. In intravenous iron infusions, free iron has been shown to potentiate bacterial growth. Evidence associated with intravenous iron therapy and infection is inconclusive. Newer intravenous iron preparations with low free iron concentrations limit the potential risk of infection. It is advised that iron preparations with high free iron concentrations are avoided.",92
3900,Triazole,Isomerism,"There are four triazole isomers, which are conventionally divided into two pairs of tautomers.  In the 1,2,3-triazoles, the three nitrogen atoms are adjacent; in the 1,2,4-triazoles, an interstitial carbon separates out one nitrogen atom.  Each category has two tautomers that differ by which nitrogen has a hydrogen bonded to it.",87
3901,Cotton Bowl Classic,1980s,"The 1982 game between Texas and Alabama would be the final time that Bear Bryant would face the Longhorns. Having lost to Texas in all meetings prior, Alabama went into the fourth quarter ahead 10–0 and it would appear that the Bear would finally get a win over Texas while at Alabama. But the Longhorns scored their first points with a quarterback draw by Robert Brewer on a 3rd-and-long with 10:38 remaining. On Texas' next possession, Terry Orr scored from eight yards out to cap an 11-play, 80-yard drive to put the Longhorns up 14–10 with 2:05 remaining. Alabama's Joey Jones returned the ensuing kickoff to the Texas 38-yard line, and Tide quarterback Walter Lewis took over with 1:54 left. On the very next play, UT's William Graham picked off a Lewis pass at the one. The Longhorns took a safety to insure better field position and Texas once again stunned Alabama and the Bear with a 14–12 victory.The 1984 game featured No. 7 Georgia of the SEC against undefeated No. 2 Texas of the SWC. Texas led 9–3 with more than four minutes to play in a battle of field goals between Georgia's Kevin Butler and Texas' Jeff Ward. A Chip Andrews (Georgia) punt was muffed by Texas defensive back Craig Curry late in the fourth quarter, then Georgia quarterback John Lastinger ran 17 yards for a touchdown with 3:22 left to play to capture a 10–9 victory, costing the Longhorns a possible national title.
The 1989 game between UCLA and Arkansas was highly publicized in the Dallas area because Bruin quarterback Troy Aikman was expected to be the top pick in the 1989 NFL Draft; the first pick was held by the Dallas Cowboys. Much was made of Cowboys longtime head coach Tom Landry watching Aikman practice at Texas Stadium, UCLA's practice facility for game preparation. Landry never got to draft Aikman, because he was fired the next month, but his successor, Jimmy Johnson, did. UCLA and Aikman won, 17–3.
The Cotton Bowl Classic has seen its share of great quarterbacks. Sammy Baugh, Davey O'Brien, Babe Parilli, Bobby Layne, Norm Van Brocklin, Y. A. Tittle, Bart Starr, Roger Staubach, Ken Stabler, Joe Theismann, Joe Montana, Dan Marino, Doug Flutie, Troy Aikman, and Eli Manning all have played in the game.
Three of the four Heisman Trophy winners from the 1984–87 seasons finished their college career in the Cotton Bowl Classic: Doug Flutie for Boston College in January 1985, Bo Jackson of Auburn in 1986, and Tim Brown of Notre Dame in 1988.
Brown and fellow Heisman winner Davey O'Brien, who played in the 1937 Cotton Bowl, both attended nearby Woodrow Wilson High School in the Lakewood area. ""Woodrow"" became the first high school ever to produce two Heisman winners.",613
3902,List of ambassadors of the United States to the United Nations Agencies for Food and Agriculture,Ambassadors,"The following is a chronological list of those who have held the position since its elevation in rank, with what are typically their appointment and termination of service dates:

Millicent Fenwick (June 13, 1983 – March 20, 1987)
Fred J. Eckert (May 7, 1987 – January 11, 1989)
Gerald J. Monroe (November 8, 1988 – July 5, 1992)
William H. Marsh (July 24, 1992 – September 4, 1994)
Thomas Austin Forbord (August 23, 1994 – September 8, 1997)
George McGovern (March 10, 1998 – September 28, 2001)
Tony P. Hall (September 12, 2002 – April 5, 2006)
Gaddi Vasquez (September 7, 2006 – January 17, 2009)
Ertharin Cousin (August 17, 2009 – April 5, 2012)
David J. Lane (July 19, 2012 – August 9, 2016)
Kip E. Tom (April 11, 2019 – January 19, 2021)
Cindy McCain (November 5, 2021 – April 5, 2023)",233
3903,Domestication,Birds,"Domesticated birds principally mean poultry, raised for meat and eggs: some Galliformes (chicken, turkey, guineafowl) and Anseriformes (waterfowl: duck, goose, swan). Also widely domesticated are cagebirds such as songbirds and parrots; these are kept both for pleasure and for use in research.
The domestic pigeon has been used both for food and as a means of communication between far-flung places through the exploitation of the pigeon's homing instinct; research suggests it was domesticated as early as 10,000 years ago.
Chicken fossils in China were dated 7,400 years ago. The chicken's wild ancestor is Gallus gallus, the red junglefowl of Southeast Asia. It appears to have been kept initially for cockfighting rather than for food.",172
3904,Combined oral contraceptive pill,Summary,"The combined oral contraceptive pill (COCP), often referred to as the birth control pill or colloquially as ""the pill"", is a type of birth control that is designed to be taken orally by women. The pill contains two important hormones: a progestin (a synthetic form of the hormone progestogen/progesterone) and estrogen (usually ethinylestradiol and 17β estradiol). When taken correctly, it alters the menstrual cycle to eliminate ovulation and prevent pregnancy.
COCPs were first approved for contraceptive use in the United States in 1960, and are a very popular form of birth control. They are used by more than 100 million women worldwide  and by about 9 million women in the United States. From 2015 to 2017, 12.6% of women aged 15–49 in the US reported using COCPs, making it the second most common method of contraception in this age range (female sterilization is the most common method). Use of COCPs, however, varies widely by country, age, education, and marital status. For example, one third of women aged 16–49 in the United Kingdom currently use either the combined pill or progestogen-only pill (POP), compared with less than 3% of women in Japan (as of 1950–2014).Combined oral contraceptives are on the World Health Organization's List of Essential Medicines. The pill was a catalyst for the sexual revolution.",300
3905,Iron fertilization,Atmospheric sourcing,"Iron-rich dust rising into the atmosphere is a primary source of ocean iron fertilization. For example, wind blown dust from the Sahara desert fertilizes the Atlantic Ocean and the Amazon rainforest. The naturally occurring iron oxide in atmospheric dust reacts with hydrogen chloride from sea spray to produce iron chloride, which degrades methane and other greenhouse gases, brightens clouds and eventually falls with the rain in low concentration across a wide area of the globe. Unlike ship based deployment, no trials have been performed of increasing the natural level of atmospheric iron. Expanding this atmospheric source of iron could complement ship-based deployment.
One proposal is to boost the atmospheric iron level with iron salt aerosol. Iron(III) chloride added to the troposphere could increase natural cooling effects including methane removal, cloud brightening and ocean fertilization, helping to prevent or reverse global warming.",175
3906,Crop rotation,Carbon sequestration,"Studies have shown that crop rotations greatly increase soil organic carbon (SOC) content, the main constituent of soil organic matter. Carbon, along with hydrogen and oxygen, is a macronutrient for plants. Highly diverse rotations spanning long periods of time have shown to be even more effective in increasing SOC, while soil disturbances (e.g. from tillage) are responsible for exponential decline in SOC levels. In Brazil, conversion to no-till methods combined with intensive crop rotations has been shown an SOC sequestration rate of 0.41 tonnes per hectare per year.In addition to enhancing crop productivity, sequestration of atmospheric carbon has great implications in reducing rates of climate change by removing carbon dioxide from the air.",151
3907,Persistent organic pollutant,Compounds on the Stockholm Convention list,"In May 1995, the UNEP Governing Council investigated POPs.. Initially the Convention recognized only twelve POPs for their adverse effects on human health and the environment, placing a global ban on these particularly harmful and toxic compounds and requiring its parties to take measures to eliminate or reduce the release of POPs in the environment.. Aldrin, an insecticide used in soils to kill termites, grasshoppers, Western corn rootworm, and others, is also known to kill birds, fish, and humans.. Humans are primarily exposed to aldrin through dairy products and animal meats.. Chlordane, an insecticide used to control termites and on a range of agricultural crops, is known to be lethal in various species of birds, including mallard ducks, bobwhite quail, and pink shrimp; it is a chemical that remains in the soil with a reported half-life of one year.. Chlordane has been postulated to affect the human immune system and is classified as a possible human carcinogen.. Chlordane air pollution is believed the primary route of human exposure.. Dieldrin, a pesticide used to control termites, textile pests, insect-borne diseases and insects living in agricultural soils.. In soil and insects, aldrin can be oxidized, resulting in rapid conversion to dieldrin.. Dieldrin's half-life is approximately five years.. Dieldrin is highly toxic to fish and other aquatic animals, particularly frogs, whose embryos can develop spinal deformities after exposure to low levels.. Dieldrin has been linked to Parkinson's disease, breast cancer, and classified as immunotoxic, neurotoxic, with endocrine disrupting capacity.. Dieldrin residues have been found in air, water, soil, fish, birds, and mammals.. Human exposure to dieldrin primarily derives from food.. Endrin, an insecticide sprayed on the leaves of crops, and used to control rodents.. Animals can metabolize endrin, so fatty tissue accumulation is not an issue, however the chemical has a long half-life in soil for up to 12 years.. Endrin is highly toxic to aquatic animals and humans as a neurotoxin.. Human exposure results primarily through food.. Heptachlor, a pesticide primarily used to kill soil insects and termites, along with cotton insects, grasshoppers, other crop pests, and malaria-carrying mosquitoes.. Heptachlor, even at very low doses has been associated with the decline of several wild bird populations – Canada geese and American kestrels.. In laboratory tests have shown high-dose heptachlor as lethal, with adverse behavioral changes and reduced reproductive success at low-doses, and is classified as a possible human carcinogen.. Human exposure primarily results from food..",558
3908,Paddy field,Etymology,"The word ""paddy"" is derived from the Malay word padi, meaning ""rice plant"", which is itself derived from Proto-Austronesian *pajay (""rice in the field"", ""rice plant""). Cognates include Amis panay; Tagalog paláy; Kadazan Dusun paai; Javanese pari; and Chamorro faʻi, among others.",89
3909,Agroecology,Varieties,"Buttel identifies four varieties of agroecology in a 2003 conference paper. The main varieties he calls ecosystem agroecology which he claims derives from the ecosystem ecology of Howard T. Odum and focuses less on the rural sociology, and agronomic agroecology which he identifies as being oriented towards developing knowledge and practices to agriculture more sustainable. The third long-standing variety Buttel calls ecological political economy which he defines as critiquing the politics and economy of agriculture and weighted to radical politics. The smallest and newest variety Buttel coins agro-population ecology, which he says is very similar to the first, but is derived from the science of ecology primarily based on the more modern theories of population ecology such as population dynamics of constituent species, and their relationships to climate and biogeochemistry, and the role of genetics.Dalgaard et al. identify different points of view: what they call early ""integrative"" agroecology, such as the investigations of Henry Gleason or Frederic Clements. The second version they cite Hecht (1995) as coining ""hard"" agroecology which they identify as more reactive to environmental politics but rooted in measurable units and technology. They themselves name ""soft"" agroecology which they define as trying to measure agroecology in terms of ""soft capital"" such as culture or experience.The term agroecology may used by people for a science, movement or practice. Using the name as a movement became more common in the 1990s, especially in the Americas. Miguel Altieri, whom Buttel groups with the ""political"" agroecologists, has published prolifically in this sense. He has applied agroecology to sustainable agriculture, alternative agriculture and traditional knowledge.",362
