,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
75,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to wait for next installment till release
Farmer Name: MUHAMMED K K
Registration Status: Registration done ( KL273406444 )
Registration Date: 06/04/2020
Active/InActive: Active
Payment Status: 7nth installment payment done
Credit Date: 31/05/2022",KERALA,KOZHIKODE,BALUSSERI,2022-09-22T12:18:22.647
76,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases.
enroll PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are Aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
The scheme implimented in two season - Kharif and Rabi. Last date for registering in kharif season was 1st august 2022. Registrsation for rabi season will start on october 2022.
",KERALA,KOZHIKODE,KOZHIKODE,2022-09-22T12:32:29.927
77,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to contact Krishibhavan,KERALA,KOZHIKODE,PERAMBRA,2022-09-22T12:37:54.313
78,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that EKYC is  Already Done.,KERALA,KOZHIKODE,THUNERI,2022-09-22T12:58:52.187
79,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact Krishibhavan.
You have not completed Ekyc. Please complete the Ekyc process.",KERALA,KOZHIKODE,CHELANNUR,2022-09-22T13:18:27.04
80,NA,HORTICULTURE,Fruits,Mango,	Plant Protection	,Asked about methods to induce flowering in mango tree,Suggested to apply Paclobutrazol @ 5 gram/10 litre of water for non-bearing trees as soil drenching 60 cm away from tree trunk. It is done during first fortnight of September and will induce flowering and fruit set yield during off years. Irrigate the trees after the application.,KERALA,KOZHIKODE,KODUVALLY,2022-09-22T14:49:13.21
81,NA,AGRICULTURE,Others,Others,"Power, Roads etc.",Asked about availability of vegetable seeds,"Suggested to contact KRISHI BUSINESS KENDRA, Vidya Nagar, Near Kasargode Collectorate, Ph: 0499-4257061",KERALA,KOZHIKODE,KODUVALLY,2022-09-22T14:54:49.313
82,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana ,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
Essential documents required are 
1. Land Rights Documents- Record of Right (RoR) 
2. Land Possession Certificate (LPC)
3. Aadhar Card (updated)
4. Bank Passbook (First Page –having details of bank accounts)
Enrollment of rabi crops starts in Oct 1
",KERALA,KOZHIKODE,THUNERI,2022-09-23T12:24:36.137
83,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to complete eKYC updation before 30 september 2022,KERALA,KOZHIKODE,KODUVALLY,2022-09-24T10:05:42.79
84,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about schemes for ornamental plants,"Suggested to contact ADA Koduvally, Ph: 9383471820, 0495-2210050",KERALA,KOZHIKODE,KODUVALLY,2022-09-24T11:07:33.963
85,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application. The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.
",KERALA,KOZHIKODE,KOZHIKODE,2022-09-24T12:25:39.403
86,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that PM KISAN official site is not available due to technical issues. Call later.
",KERALA,KOZHIKODE,BALUSSERI,2022-09-24T12:50:26.877
87,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked doses of fertilizer for coconut ,Suggested to apply Lime @ 1 kg soils two weeks ahead of fertilizer application.The first split has to be applied in April-June. the dosage is 1400g 18:9:18 fertilizer and 500g Potash per plant respectively.  The second dose has to be applied in September-October and the dosage is 1400g 18:9:18 fertilizer and 500g Potash per plant respectively. Apply Organic manure @ 25 kg/plant  every year.,KERALA,KOZHIKODE,0   ,2022-09-24T13:38:33.56
88,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN
","Suggested that PM KISAN official page is temporarily unavailable. Call later.

",KERALA,KOZHIKODE,KODUVALLY,2022-09-24T14:42:30.393
89,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about Nutrient management in mature Coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application. The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1 kg Potash per palm respectively. Apply 100 gram borax per palm after each fertilizer application

",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-24T14:43:49.25
90,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that PM KISAN official site is not available due to technical issues. Call later.
",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-24T14:43:59.953
91,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN
",Suggested to wait for further installments,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-24T16:10:28.53
92,NA,AGRICULTURE,Others,Others,Government Schemes,Complained about not refunding money from Government after collecting cococonut seeds.,Suggested to contact nearby Krishibhavan,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-26T10:53:00.52
93,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that eKYC updation and agricultural land verification in AIMS portal should be completed within 30th september.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-26T10:55:19.597
94,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested to wait for further installments
",KERALA,KOZHIKODE,BALUSSERI,2022-09-26T11:29:29.387
95,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that PM KISAN official site is not available due to technical issues. Call later.,KERALA,KOZHIKODE,KOZHIKODE,2022-09-26T15:52:20.4
96,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that PM KISAN official site is not available due to technical issues. Call later.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-26T16:06:36.76
97,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
",Suggested that PM Kisan official site is temporarily unavailable. Call later.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-27T10:13:27.733
98,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM kisan samman nidhi scheme,Suggested to call later,KERALA,KOZHIKODE,KOZHIKODE,2022-09-27T11:35:38.063
99,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested to wait for further installments
Payment Status:	11th installment payment done				
Bank Name:	KOZHIKODE DISTRICT CO-OP.BANK				
Credited Account:	********5353				
Credit Date:	31/05/2022",KERALA,KOZHIKODE,CHELANNUR,2022-09-27T12:32:25.94
100,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to wait for 12th installment till release.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-27T12:38:24.163
101,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi scheme,"Suggested to wait for next installment.
Farmer Name: DHANANAND P M
Registration Status: Registration done ( KL273819793 )
Registration Date: 22/04/2020
Payment Mode: AADHAAR
PFMS / Bank Status: Account detail is under revalidation process with bank
Payment Status: 6th installment payment done
Credit Date: 02/01/2022",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-27T14:44:15.493
102,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to wait for 12th installment till release.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-27T15:50:05.893
103,NA,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,Asked about drying and falling of immature jackfruits,"Suggested to remove the fallen fruits and spray Copper oxy Chloride 2 g in one litre of water. 
Contact KVK Peruvannamuzhi, phone : 0496 266 6041",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-27T16:49:31.74
104,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme
",Suggested that 8th Installment: Rft Signed by State For 8th Installment,KERALA,KOZHIKODE,BALUSSERI,2022-09-28T09:32:34.74
105,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that eKYC updation and agricultural land verification in AIMS portal should be completed within september 30.,KERALA,KOZHIKODE,THODANNUR,2022-09-29T10:10:27.667
106,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to call later after getting PM Kisan registered mobile number.,KERALA,KOZHIKODE,BALUSSERI,2022-09-29T11:09:15.37
107,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that 11th installment was credited in Federal bank on 31/05/2022.
Farmer Name: JOSEPH MATHEW ENNA MATHEW
egistration Status: Registration done ( KL213417359 )
Active/InActive: Active	
Payment Mode: AADHAAR
Payment Status: 11th installment payment done				
Bank Name: THE FEDERAL BANK LTD				
Credited Account: ********6805				
Credit Date: 31/05/2022				
UTR No: ********3354",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-29T11:33:30.817
108,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi ,"Suggested that farmers can do their self-registration through the farmers corner in the pmkisan.gov.in portal or through Common Service Centres (CSCs) or Akshaya centre. Documents required are phone number, Aadhar number, land tax receipt, ration card. After application submit documents in Krishi Bhavan.
Now it may be unable to register in PM Kisan due to technical issues. No last date for registering in PM Kisan scheme has been released. Try later.",KERALA,KOZHIKODE,KODUVALLY,2022-09-29T13:25:43.473
109,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,Suggested that PM KISAN official site is not available due to technical issues. Call later.,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-30T09:55:55.02
110,NA,AGRICULTURE,Others,Others,Government Schemes, Asked about pm kisan ,"--Suggested that pm kisan site is not available now, call again later",KERALA,KOZHIKODE,MELDAY,2022-09-30T11:47:58.813
