,title,heading,content,tokens
767,Coriander,Allergy,"Some people are allergic to coriander leaves or seeds, having symptoms similar to those of other food allergies. In one study examining people suspected of food allergies to spices, 32% of pin-prick tests in children and 23% in adults were positive for coriander and other members of the family Apiaceae, including caraway, fennel, and celery. The allergic symptoms may be minor or life-threatening.",91
768,Agricultural biotechnology,Summary,"Agricultural biotechnology, also known as agritech, is an area of agricultural science involving the use of scientific tools and techniques, including genetic engineering, molecular markers, molecular diagnostics, vaccines, and tissue culture, to modify living organisms: plants, animals, and microorganisms. Crop biotechnology is one aspect of agricultural biotechnology which has been greatly developed upon in recent times. Desired trait are exported from a particular species of Crop to an entirely different species. These transgene crops possess desirable characteristics in terms of flavor, color of flowers, growth rate, size of harvested products and resistance to diseases and pests.",132
769,Irrigation management,Enterprise type,"The enterprise type of water management occurred under large landowners or agricultural corporations, but also in centrally controlled societies. Both the land and water resources are in one hand. 
Large plantations were found in colonised countries in Asia, Africa, and Latin America, but also in countries employing slave labor. It concerned mostly the large scale cultivation of commercial crops such as bananas, sugarcane and cotton. 
As a result of land reforms, in many countries the estates were reformed into a cooperatives in which the previous employers became members and exercised a cooperative form of land and water management.",120
770,Greenhouse gas emissions,Methane (CH4),"Methane has a high immediate impact with a 5-year global warming potential of up to 100. Given this, the current 389 Mt of methane emissions: 6  has about the same short-term global warming effect as CO2 emissions, with a risk to trigger irreversible changes in climate and ecosystems. For methane, a reduction of about 30% below current emission levels would lead to a stabilization in its atmospheric concentration.

Fossil fuels (32%), again, account for most of the methane emissions including coal mining (12% of methane total), gas distribution and leakages (11%) as well as gas venting in oil production (9%).: 6 : 12 
Livestock (28%) with cattle (21%) as the dominant source, followed by buffalo (3%), sheep (2%), and goats (1.5%).: 6, 23 
Human waste and wastewater (21%): When biomass waste in landfills and organic substances in domestic and industrial wastewater is decomposed by bacteria in anaerobic conditions, substantial amounts of methane are generated.: 12 
Rice cultivation (10%) on flooded rice fields is another agricultural source, where anaerobic decomposition of organic material produces methane.: 12",273
771,Census of agriculture,Scope of the census of agriculture,"A census of agriculture aims to measure the structure of the agricultural production industry. The scope of the agricultural production industry broadly covers not only crop and livestock production activities, but also forestry and fisheries production activities, as well as other food- and agriculture-related activities. The World Programme for the Census of Agriculture (WCA) recommends that the census of agriculture focus only on those units engaged in the production of crop and livestock products, including aquaculture. Units engaged in forestry and fisheries are not covered unless they also had some crop or livestock production activities. Usually, separate data collection operations are organized to cover forestry and fisheries.The scope of a census of agriculture may be defined under ISIC (Rev.4) as follows:

Group 011: Growing of non-perennial crops
Group 012: Growing of perennial crops
Group 013: Plant propagation
Group 014: Animal production
Group 015: Mixed farmingHowever, country practices show that the scope varies according to the objectives set for the census. Some countries such as Argentina, Colombia, Chile, Brazil, Japan, Korea and New Zealand include forestry within the scope of their census of agriculture. Other countries such as Colombia, Brazil, Republic of Korea, the Philippines and Thailand include fisheries.",263
772,Domestication,Cause and timing,"The domestication of animals and plants was triggered by the climatic and environmental changes that occurred after the peak of the Last Glacial Maximum around 21,000 years ago and which continue to this present day. These changes made obtaining food difficult. The first domesticate was the wolf (Canis lupus) at least 15,000 years ago. The Younger Dryas that occurred 12,900 years ago was a period of intense cold and aridity that put pressure on humans to intensify their foraging strategies. By the beginning of the Holocene from 11,700 years ago, favorable climatic conditions and increasing human populations led to small-scale animal and plant domestication, which allowed humans to augment the food that they were obtaining through hunter-gathering.The Neolithic transition led to agricultural societies emerging in locations across Eurasia, North Africa, and South and Central America. In the Fertile Crescent 10,000-11,000 years ago, zooarchaeology indicates that goats, pigs, sheep, and taurine cattle were the first livestock to be domesticated. Two thousand years later, humped zebu cattle were domesticated in what is today Baluchistan in Pakistan. In East Asia 8,000 years ago, pigs were domesticated from wild boar that were genetically different from those found in the Fertile Crescent. The horse was domesticated on the Central Asian steppe 5,500 years ago. Both the chicken in Southeast Asia and the cat in Egypt were domesticated 4,000 years ago.The sudden appearance of the domestic dog (Canis lupus familiaris) in the archaeological record then led to a rapid shift in the evolution, ecology, and demography of both humans and numerous species of animals and plants. It was followed by livestock and crop domestication, and the transition of humans from foraging to farming in different places and times across the planet. Around 10,000 YBP, a new way of life emerged for humans through the management and exploitation of plant and animal species, leading to higher-density populations in the centers of domestication, the expansion of agricultural economies, and the development of urban communities.",441
773,Mineral ascorbates,Production,"Mineral ascorbates are powders manufactured by reacting ascorbic acid with mineral carbonates in aqueous solutions, venting the carbon dioxide, drying the reaction product, and then milling the dried product to the desired particle size.
The choice of the mineral carbonates can be calcium carbonate, potassium carbonate, sodium bicarbonate, magnesium carbonate, or many other mineral forms.",88
774,Sodium,Summary,"Sodium is a chemical element with the symbol Na (from Latin natrium) and atomic number 11. It is a soft, silvery-white, highly reactive metal. Sodium is an alkali metal, being in group 1 of the periodic table. Its only stable isotope is 23Na. The free metal does not occur in nature, and must be prepared from compounds. Sodium is the sixth most abundant element in the Earth's crust and exists in numerous minerals such as feldspars, sodalite, and halite (NaCl). Many salts of sodium are highly water-soluble: sodium ions have been leached by the action of water from the Earth's minerals over eons, and thus sodium and chlorine are the most common dissolved elements by weight in the oceans.
Sodium was first isolated by Humphry Davy in 1807 by the electrolysis of sodium hydroxide. Among many other useful sodium compounds, sodium hydroxide (lye) is used in soap manufacture, and sodium chloride (edible salt) is a de-icing agent and a nutrient for animals including humans.
Sodium is an essential element for all animals and some plants. Sodium ions are the major cation in the extracellular fluid (ECF) and as such are the major contributor to the ECF osmotic pressure and ECF compartment volume. Loss of water from the ECF compartment increases the sodium concentration, a condition called hypernatremia. Isotonic loss of water and sodium from the ECF compartment decreases the size of that compartment in a condition called ECF hypovolemia.
By means of the sodium-potassium pump, living human cells pump three sodium ions out of the cell in exchange for two potassium ions pumped in; comparing ion concentrations across the cell membrane, inside to outside, potassium measures about 40:1, and sodium, about 1:10. In nerve cells, the electrical charge across the cell membrane enables transmission of the nerve impulse—an action potential—when the charge is dissipated; sodium plays a key role in that activity.",429
775,Amorphous calcium phosphate,Biogenic ACP,"Biogenic ACP has been found in the inner ear of embryonic sharks, mammalian milk and dental enamel. However, whilst its unequivocal presence in bones and teeth is debated, there is evidence that transient amorphous precursors are involved in the development of bone and teeth. The ACP in bovine milk (CPP-ACP) is believed to involve calcium phosphate nanoclusters in a shell of casein phosphopeptides. A typical casein micelle of radius 100 nm contains around 10,000 casein molecules and 800 nanoclusters of ACP, each about 4.8 nm in diameter. The concentration of calcium phosphate is higher in milk than in serum, but it rarely forms deposits of insoluble phosphates. Unfolded phosphopeptides are believed to sequester ACP nanoclusters and form stable complexes in other biofluids such as urine and blood serum, preventing deposition of insoluble calcium phosphates and calcification of soft tissue. In the laboratory, stored samples of formulations of artificial blood, serum, urine and milk (which approximate the pH of the naturally occurring fluid) deposit insoluble phosphates. The addition of suitable phosphopeptides prevents precipitation.",247
776,Cycling team,Summary,"A cycling team is a group of cyclists who join a team or are acquired and train together to compete in bicycle races whether amateur or professional – and the supporting personnel. Cycling teams are most important in road bicycle racing, which is a team sport, but collaboration between team members is also important in track cycling and cyclo-cross.",70
777,Plant pathology,Parasitic plants,"Parasitic plants such as broomrape, mistletoe and dodder are included in the study of phytopathology. Dodder, for example, can be a conduit for the transmission of viruses or virus-like agents from a host plant to a plant that is not typically a host, or for an agent that is not graft-transmissible.",76
778,Ford World Rally Team,2007 season,"The team's primary entrants for 2007 were unchanged from 2006. After watching his opponent of the previous year, Sébastien Loeb, return to winning ways on the official return of the 2003–2005 manufacturers' championship-winning factory Citroën team on the season's curtain-raiser in Monte Carlo, Grönholm followed up his own third place by winning for the first time that season in Sweden in February, and led his opponent, now driving a newly homologated Citroën C4 WRC, in the drivers' standings over the championship's post-Rally Finland summer break (an event also incidentally won by Grönholm, for a record-beating seventh time, to further extend his points lead).
Unfortunately for the drivers' championship ambitions of both the Blue Oval concern and Grönholm, however, having announced his impending retirement from WRC competition at the end of the season, the elder Finn was to suffer an early exit on Rally Japan. Grönholm then crashed his Focus (knocking himself briefly unconscious) on the tarmac stages of the inaugural Rally Ireland and penultimate round of the year. Combined with adversary Loeb winning, this meant Grönholm would surrender his championship lead, leaving him with an almost impossible points deficit to overhaul at the season-ending Wales Rally GB. It culminated in the Frenchman, settling for a safe third on the rally to the Finn's second, triumphing in the second long points duel between the pair in consecutive years. Ford, however, aided by supporting teammate Hirvonen's continued superiority on loose-surface events over his Citroën counterpart Daniel Sordo, sealed a successful defence of the Constructors' Championship. Meanwhile, Hirvonen, for his part, in addition to ending the season in style by topping the timesheets after the three days' competition in Wales, had also earlier taken his second and third career world rally victories in Norway and Japan.
At the half way stage of the 2007 World Rally Championship, a joint venture between BP-Ford and the Abu Dhabi Tourism Board was announced to bring a third official Ford Focus RS World Rally Car to the team's campaign. Khalid AlQassimi and co-driver Nicky Beech contested the Neste Oil Rally Finland, ADAC Rallye Deutschland, Rally RACC Catalunya-Costa Daurada and Rally Ireland.For their work in the 2007 season, BP Ford and M-Sport received the Rally Business of the Year Award from the Motorsport Industry Association.",519
779,Norin 10 wheat,Summary,"Norin 10 wheat (小麦農林10号) is a semi-dwarf wheat cultivar with very large ears that was bred by Gonjiro Inazuka at an experimental station in Iwate Prefecture, Japan. Its parents were a semi-dwarf Japanese landrace that may have originated in Korea in the 3rd or 4th century AD, and two varieties from the USA. In 1935 it was registered as a numbered cultivar by the Japanese Ministry of Agriculture and Forestry Nōrinshō (農林省). 
Norin 10 grew to just two feet (60 - 100 cm) tall, instead of the usual four (150 cm). It provided two genes, Rht1 and Rht2, that resulted in reduced-height wheats, thus allowing better nutrient uptake and tillage, since then heavily fertilised with nitrogen, tall varieties grow too high, become top-heavy, and lodge.The Rht1 and Rht2 genes have been used in wheat breeding programmes worldwide to provide shorter plants with higher yields. Cecil Salmon, a biologist and wheat expert on General Douglas MacArthur's team in Japan after 1945, collected 16 varieties of wheat including Norin 10. He sent these seeds to Orville Vogel at Washington State University and they were used within USA breeding programmes in the 1950s.  Norin 10 was also provided to the International Maize and Wheat Improvement Center in Mexico. It was used here by Norman Borlaug and collaborators in crosses with local varieties to produce dwarf varieties that were also daylight-insensitive and had resistance to rust disease. These were subsequently distributed worldwide. These included high-output varieties tested in India (Lerma Rojo 64 and Sonora 64) during the Green Revolution.Norin 10 helped developing countries, such as India and Pakistan, to increase the productivity of their crops by approximately 60% during the Green Revolution.",403
780,Sweet potato,Comparison to other food staples,"The table below presents the relative performance of sweet potato (in column) to other staple foods on a dry weight basis to account for their different water contents. While sweet potato provides less edible energy and protein per unit weight than cereals, it has higher nutrient density than cereals.According to a study by the United Nations Food and Agriculture Organization, sweet potatoes are the most efficient staple food to grow in terms of farmland, yielding approximately 70,000 kcal per hectare (28,000/acre) / day.",109
781,Effects of climate change on agriculture,Heat waves,"In the summer of 2018, heat waves probably linked to climate change greatly reduced average yield in many parts of the world, especially Europe. During the month of August, more crop failures resulted in a rise in global food prices. Wheat, rice and maize production failed to meet demand, forcing governments and food companies to release stocks from storage.",70
782,High-valent iron,Fe(VI)N,"A second FeVI species apart from the ferrate(VI) ion, [(Me3cy-ac)FeN](PF6)2, has been reported. This species, is formed by oxidation followed by photolysis to yield the Fe(VI) species. Characterization of the Fe(VI) complex was done by Mossbauer, EXAFS, IR, and DFT calculations. Unlike the ferrate(VI) ion, compound 5 is diamagnetic.",100
783,Organic matter,Formation,"Living organisms are composed of organic compounds. In life, they secrete or excrete organic material into their environment, shed body parts such as leaves and roots and after organisms die, their bodies are broken down by bacterial and fungal action. Larger molecules of organic matter can be formed from the polymerization of different parts of already broken down matter. The composition of natural organic matter depends on its origin, transformation mode, age, and existing environment, thus its bio-physicochemical functions vary with different environments.",106
784,Intravenous iron infusion,Cutaneous reactions,"Intravenous iron infusions can cause skin rash, hives, itchiness and flush. Skin staining and discolouration can occur at the site of infusion if the iron and saline solution leaks outside the vein into the surrounding tissue. Skin discolouration can be semi-permanent or permanent.",67
785,Sodium,Isotopes,"Twenty isotopes of sodium are known, but only 23Na is stable. 23Na is created in the carbon-burning process in stars by fusing two carbon atoms together; this requires temperatures above 600 megakelvins and a star of at least three solar masses. Two radioactive, cosmogenic isotopes are the byproduct of cosmic ray spallation: 22Na has a half-life of 2.6 years and 24Na, a half-life of 15 hours; all other isotopes have a half-life of less than one minute.Two nuclear isomers have been discovered, the longer-lived one being 24mNa with a half-life of around 20.2 milliseconds. Acute neutron radiation, as from a nuclear criticality accident, converts some of the stable 23Na in human blood to 24Na; the neutron radiation dosage of a victim can be calculated by measuring the concentration of 24Na relative to 23Na.",193
786,Iron fertilization,LOHAFEX,"LOHAFEX was an experiment initiated by the German Federal Ministry of Research and carried out by the German Alfred Wegener Institute (AWI) in 2009 to study fertilization in the South Atlantic. India was also involved.As part of the experiment, the German research vessel Polarstern deposited 6 tons of ferrous sulfate in an area of 300 square kilometers. It was expected that the material would distribute through the upper 15 metres (49 ft) of water and trigger an algal bloom. A significant part of the carbon dioxide dissolved in sea water would then be bound by the emerging bloom and sink to the ocean floor.
The Federal Environment Ministry called for the experiment to halt, partly because environmentalists predicted damage to marine plants. Others predicted long-term effects that would not be detectable during short-term observation or that this would encourage large-scale ecosystem manipulation.",177
787,Eucalyptus,Greece,"In Greece, eucalypts are widely found, especially in southern Greece and Crete. They are cultivated and used for various purposes, including as an ingredient in pharmaceutical products (e.g., creams, elixirs and sprays) and for leather production. They were imported in 1862 by botanist Theodoros Georgios Orphanides. The principal species is Eucalyptus globulus.",89
788,Pesticide toxicity to bees,Colony collapse disorder,"Colony collapse disorder (CCD) is a syndrome that is characterized by the sudden loss of adult bees from the hive.  Many possible explanations for it have been proposed, but no one primary cause has been found. The US Department of Agriculture indicated in a 2010 report to Congress that a combination of factors could be causing colony collapse disorder, including pesticides, pathogens, and parasites. Although pesticides were suspected to be part of the problem, a survey
of healthy and CCD-affected colonies revealed similar levels of pesticides in wax and pollen.",113
789,Goodyear Tire and Rubber Company,Foreign Corrupt Practices Act charges,"On February 24, 2015, Goodyear agreed to pay more than $16 million to settle Foreign Corrupt Practices Act ""FCPA"" charges that two of its African subsidiaries allegedly paid $3.2 million in bribes that generated $14,122,535 in illicit profits. The U.S. Securities and Exchange Commission ""SEC"" FCPA charges involved Goodyear subsidiaries in Kenya and Angola for allegedly paying bribes to government and private-sector workers in exchange for sales in each country. According to the SEC because ""Goodyear did not prevent or detect these improper payments because it failed to implement adequate FCPA compliance controls at its subsidiaries"" and, for the Kenyan subsidiary, ""because it failed to conduct adequate due diligence"" prior to its acquisition. It was not alleged that Goodyear had any involvement with or knowledge of its subsidiaries' improper conduct.",176
790,Drought tolerance,Other TFs,"TFs such as NAC (composed of NAM, ATAF, and CUC), are also related to drought response in Arabidopsis and rice. Overexpression in the aforementioned plants improves stress and drought tolerance. They also may be related to root growth and senescence, two physiological traits related to drought tolerance.",71
791,Cumin,Uses,"Cumin seed is used as a spice for its distinctive flavor and aroma. Cumin can be found in some cheeses, such as Leyden cheese, and in some traditional breads from France. Cumin can be an ingredient in chili powder (often Tex-Mex or Mexican-style) and is found in achiote blends, adobos, sofrito, garam masala, curry powder, and bahaarat, and is used to flavor numerous commercial food products. In South Asian cooking it is often combined with coriander seeds in a powdered mixture called dhana jeera.
Cumin can be used ground or as whole seeds. It imparts an earthy, warming and aromatic character to food, making it a staple in certain stews and soups, as well as spiced gravies such as curry and chili. It is also used as an ingredient in some pickles and pastries.",190
792,Copper deficiency,Treatment,"Copper deficiency is a very rare disease and is often misdiagnosed several times by physicians before concluding the deficiency of copper through differential diagnosis (copper serum test and bone marrow biopsy are usually conclusive in diagnosing copper deficiency).  On average, patients are diagnosed with copper deficiency around 1.1 years after their first symptoms are reported to a physician.
Copper deficiency can be treated with either oral copper supplementation or intravenous copper. If zinc intoxication is present, discontinuation of zinc may be sufficient to restore copper levels back to normal, but this usually is a very slow process. People with zinc intoxication will usually have to take copper supplements in addition to ceasing zinc consumption. Hematological manifestations are often quickly restored back to normal. The progression of the neurological symptoms will be stopped and sometimes improved with appropriate treatment, but residual neurological disability is common.",175
793,Watervliet Arsenal,1813–1823,"The arsenal was chosen to be built at the edge of the village of Gibbonsville, directly opposite Troy, New York. It was chosen to be built there due to its key location on the Hudson River, only 60 miles (97 km) from Lake Champlain, 140 miles (230 km) from New York City, and a short distance via the Mohawk River to Lake Ontario. During the early stages of the War of 1812, attacks could be expected from many key ports and other locations. At the time, the Colonel of Ordnance was Decius Wadsworth; he originally designated the arsenal to produce fixed ammunition and small articles of equipment including gun carriages, drag ropes, ladles, wormers, sponges, and shot. The original plot of land acquired by the Department of Ordnance was 12 acres (49,000 m2). Construction began in the summer of 1813 on fourteen buildings: south and north gun houses, a brick arsenal, two stables, a guard house, commanding officer's quarters, a woodshed, two enlisted men's quarters, a hospital and one office. The cost for the land was US$2,585.",239
794,Wheat allergy,Baker's allergy,"Baker's allergy has a ω-gliadin component and thioredoxin hB component. In addition, a gluten-extrinsic allergen has been identified as aspergillus amylase, added to flour to increase its baking properties.",59
795,Eucalyptus,Distribution,"There are more than 700 species of Eucalyptus and most are native to Australia; a very small number are found in adjacent areas of New Guinea and Indonesia. One species, Eucalyptus deglupta, ranges as far north as the Philippines. Of the 15 species found outside Australia, just nine are exclusively non-Australian. Species of Eucalyptus are cultivated widely in the tropical and temperate world, including the Americas, Europe, Africa, the Mediterranean Basin, the Middle East, China, and the Indian subcontinent. However, the range over which many eucalypts can be planted in the temperate zone is constrained by their limited cold tolerance.Australia is covered by 92,000,000 hectares (230,000,000 acres) of eucalypt forest, comprising three quarters of the area covered by native forest. The Blue Mountains of southeastern Australia have been a centre of eucalypt diversification; their name is in reference to the blue haze prevalent in the area, believed derived from the volatile terpenoids emitted by these trees.",225
796,Garden Organic,Summary,"Garden Organic, formerly known as the Henry Doubleday Research Association (HDRA), is a UK organic growing charity dedicated to researching and promoting organic gardening, farming and food. The charity maintains the Heritage Seed Library to preserve vegetable seeds from heritage cultivars and make them available to growers.",62
797,Labeling of fertilizer,NPK values for biosolids fertilizers and others,"09-00-00 dairy manure
01-00-01 horse manure
03-02-02 poultry manure
04-12-00 Bone meal
05-05-06 Fish blood and bone
06-02-00 Milorganite",61
798,Permaculture,Zones,"Zones intelligently organize design elements in a human environment based on the frequency of human use and plant or animal needs. Frequently manipulated or harvested elements of the design are located close to the house in zones 1 and 2. Manipulated elements located further away are used less frequently. Zones are numbered from 0 to 5 based on positioning.
Zone 0
The house, or home center. Here permaculture principles aim to reduce energy and water needs harnessing natural resources such as sunlight, to create a harmonious, sustainable environment in which to live and work. Zone 0 is an informal designation, which is not specifically defined in Mollison's book.
Zone 1
The zone nearest to the house, the location for those elements in the system that require frequent attention, or that need to be visited often, such as salad crops, herb plants, soft fruit like strawberries or raspberries, greenhouse and cold frames, propagation area, worm compost bin for kitchen waste, etc. Raised beds are often used in Zone 1 in urban areas.
Zone 2
This area is used for siting perennial plants that require less frequent maintenance, such as occasional weed control or pruning, including currant bushes and orchards, pumpkins, sweet potato, etc. Also, a good place for beehives, larger-scale composting bins, etc.
Zone 3
The area where main crops are grown, both for domestic use and for trade purposes. After establishment, care and maintenance required are fairly minimal (provided mulches and similar things are used), such as watering or weed control maybe once a week.
Zone 4
A semi-wild area, mainly used for forage and collecting wild plants as well as production of timber for construction or firewood.
Zone 5
A wilderness area. Humans do not intervene in zone 5 apart from observing natural ecosystems and cycles. This zone hosts a natural reserve of bacteria, molds, and insects that can aid the zones above it.",407
799,Sustainable agriculture,Environmental factors,"Practices that can cause long-term damage to soil include excessive tilling of the soil (leading to erosion) and irrigation without adequate drainage (leading to salinization).

The most important factors for a farming site are climate, soil, nutrients and water resources. Of the four, water and soil conservation are the most amenable to human intervention. When farmers grow and harvest crops, they remove some nutrients from the soil. Without replenishment, the land suffers from nutrient depletion and becomes either unusable or suffers from reduced yields. Sustainable agriculture depends on replenishing the soil while minimizing the use or need of non-renewable resources, such as natural gas or mineral ores.
A farm that can ""produce perpetually"", yet has negative effects on environmental quality elsewhere is not sustainable agriculture. An example of a case in which a global view may be warranted is the application of fertilizer or manure, which can improve the productivity of a farm but can pollute nearby rivers and coastal waters (eutrophication). The other extreme can also be undesirable, as the problem of low crop yields due to exhaustion of nutrients in the soil has been related to rainforest destruction. In Asia, the specific amount of land needed for sustainable farming is about 12.5 acres which include land for animal fodder, cereal production as a cash crop, and other food crops. In some cases, a small unit of aquaculture is included (AARI-1996).",296
800,Azerbaijani tea culture,Tea drinking traditions,"In Azerbaijan, people drink tea from the special glass called “armudu” (literally pear-like glass) and is associated with the figure of a hostess in Azerbaijani culture. Tea is served with various delicious sweets, fruit jam and sliced lemon.",60
801,Garden Organic,Services,"The organisation has over 20,000 members. It has trained over 600 Master Composter volunteers from around the UK to spread the home composting message and runs research and international development programmes that help commercial growers across the UK and overseas adopt organic methods.
In 2010 with funding from the Big Lottery Fund’s Local Food Scheme, Sheepdrove Trust and local authorities in four areas — Warwickshire, North London, South London and Norfolk — the Charity set up a Master Gardener Programme.   The Charity's Master Gardeners Programme trains and supports mentors and community growing initiatives around the Country working with Local Authorities, Housing Associations and NHS Health providers to support networks of Master Gardeners and volunteers.   The Programme has expanded to other areas in the UK and is currently working with G4S in supporting a Master Gardener Programme for offenders in prisons HMP Rye Hill and Onsley.It used to actively campaign on issues vital to both people and the environment including health, sustainability, and climate change, and helps children in over 15% of the UK's schools learn about food and organic growing through its free education programme, Garden Organic for Schools and through its work on the Food for Life Partnership.",248
802,Greenhouse gas emissions,Greenhouse gas intensity,"Greenhouse gas intensity is a ratio between greenhouse gas emissions and another metric, e.g., gross domestic product (GDP) or energy use. The terms ""carbon intensity"" and ""emissions intensity"" are also sometimes used. Emission intensities may be calculated using market exchange rates (MER) or purchasing power parity (PPP).: 96  Calculations based on MER show large differences in intensities between developed and developing countries, whereas calculations based on PPP show smaller differences. According to a study discussing the relationship between urbanization and carbon emissions, urbanization is becoming a huge player in the global carbon cycle. Depending on total carbon emissions done by a city that hasn't invested in carbon efficiency or improved resource management, the global carbon cycle is projected to reach 75% of the world population by 2030.",171
803,Zinc oxide,Li-ion battery and supercapacitors,"ZnO is a promising anode material for lithium-ion battery because it is cheap, biocompatible, and environmentally friendly. ZnO has a higher theoretical capacity (978 mAh g−1) than many other transition metal oxides such as CoO (715 mAh g−1), NiO (718 mAh g−1) and CuO (674 mAh g−1). ZnO is also used as an electrode in supercapacitors.",106
804,Avon Protection,Summary,"Avon Protection plc is a British company that specialises in the engineering and manufacturing of respiratory protection equipment for military, law enforcement and fire personnel.  Its corporate headquarters are 3 km (1.9 mi) south of Melksham in Wiltshire, England, at the Hampton Park West development. It is listed on the London Stock Exchange.",75
805,Calcium oxide,Mineral,"Calcium oxide is also a separate mineral species (with the unit formula CaO), named 'Lime'. It has an isometric crystal system, and can form a solid solution series with monteponite. The crystal is brittle, pyrometamorphic, and is unstable in moist air, quickly turning into portlandite (Ca(OH)2).",76
806,Herbicide,Persistence,"Residual activity: An herbicide is described as having low residual activity if it is neutralized within a short time of application (within a few weeks or months) – typically this is due to rainfall, or reactions in the soil. An herbicide described as having high residual activity will remain potent for the long term in the soil. For some compounds, the residual activity can leave the ground almost permanently barren.",86
807,Chili sauce and paste,Korea,"Chili oil used in Korean cuisine is made by adding gochugaru (Korean chili powder/flakes) to hot oil (usually sesame oil and/or vegetable oil) in the final stage of stir-frying and before adding water, in soup dishes like yukgaejang and sundubu-jjigae.
Dadaegi is a chili paste made by mixing ground or minced red, and dried red chili peppers (or chili powder/flakes) along with ground or minced garlic, onions, ground black pepper, salt or soy sauce, sugar, meat stock, sesame oil, and toasted sesame seeds. It is added to dishes like naengmyeon (cold noodle soup) or dwaeji-gukbap (pork soup with rice) to add spiciness.
Gochujang, or red chili paste, is a savory, sweet, and spicy fermented condiment made with chili powder, glutinous rice flour, meju (fermented soybean) powder, barley malt powder, and salt. The sweetness comes from the starch of cooked glutinous rice, cultured with saccharifying enzymes during the fermentation process. Traditionally, it has been naturally fermented over years in jangdok (earthenware) on an elevated stone platform, called jangdokdae, in the backyard.
Ssamjang is a thick, spicy paste eaten with grilled meat, often in ssam (vegetable wraps), in Korean barbecue. It is made of doenjang (soybean paste), gochujang (chili paste), sesame oil, onion, garlic, green onions, and optionally sugar.",355
808,Boron deficiency (plant disorder),Summary,"Boron deficiency is a common deficiency of the micronutrient boron in plants. It is the most widespread micronutrient deficiency around the world and causes large losses in crop production and crop quality. Boron deficiency affects vegetative and reproductive growth of plants, resulting in inhibition of cell expansion, death of meristem, and reduced fertility.Plants contain boron both in a water-soluble and insoluble form. In intact plants, the amount of water-soluble boron fluctuates with the amount of boron supplied, while insoluble boron does not. The appearance of boron deficiency coincides with the decrease of water-insoluble boron. It appears that the insoluble boron is the functional form while the soluble boron represents the surplus.Boron is essential for the growth of higher plants. The primary function of the element is to provide structural integrity to the cell wall in plants. Other functions likely include the maintenance of the plasma membrane and other metabolic pathways.",218
809,Coated urea,Summary,"Coated urea fertilizers are a group of controlled release fertilizers consisting of prills of urea coated in less-soluble chemicals such as sulfur, polymers, other products or a combination. These fertilizers mitigate some of the negative aspects of urea fertilization, such as fertilizer burn. The coatings release the urea either when penetrated by water, as with sulfur, or when broken down, as with polymers.",92
810,"Federal Insecticide, Fungicide, and Rodenticide Act",Pesticides and endangered species,"The Endangered Species Act protects and promotes animal and plant recovery of ones in danger of extinction due to human activity. Under this act the EPA must also consider the dangers to animals and plants when registering a new pesticide. The pesticide must not harm the listed endangered and threatened animals and habitats. To be sure this program is implemented, some labels will direct users of the pesticides to bulletins with specific information regarding use. The protection program has 2 main goals: (1) provide the best protection of endangered species from pesticides and (2) minimize the impact of the program on pesticide users.To protect the endangered species with the EPA program, the following was implemented:
sound science is used to assess risk to the listed species
there is an attempt at finding means to avoid concerns of listed species
When concerns of the listed species aren't avoidable, they consult with the Fish and Wildlife Services scientist
Implement usage limitations when the Fish and Wildlife service express a potential adverse effect on a particular species based on a biological opinionIn order to implement the usage limitations mentioned above, the EPA will:
add a generic label to the pesticide
develop bulletins containing habitat location and pesticide use limitations
distributing the bulletins containing this information to pesticide users
providing a toll-free number for users to contact regarding information in bulletins and how to obtain one.",277
811,Graph theory,Representation,"A graph is an abstraction of relationships that emerge in nature; hence, it cannot be coupled to a certain representation. The way it is represented depends on the degree of convenience such representation provides for a certain application. The most common representations are the visual, in which, usually, vertices are drawn and connected by edges, and the tabular, in which rows of a table provide information about the relationships between the vertices within the graph.",91
812,Index of agriculture articles,A,"Agricultural Machinery
Agricultural Science
Agronomy
Agroecology
Agricultural soil science
Agricultural engineering
Agriculture in Canada
Agricultural biotechnology
Apiculture",48
